work_id;m.aterial_id;consumption_per_work_unit;waste_coeff
w.197;m.1025;1;1.0
w.197;m.687;1;1.0
w.197;m.392;1;1.0
w.198;m.902;1;1.0
w.198;m.386;1;1.0
w.198;m.527;1;1.0
w.198;m.392;1;1.0
w.199;m.869;1;1.0
w.199;m.1009;1;1.0
w.199;m.1032;1;1.0
w.199;m.641;1;1.0
w.200;m.907;1;1.0
w.200;m.544;1;1.0
w.200;m.386;1;1.0
w.200;m.1032;1;1.0
w.200;m.641;1;1.0
w.201;m.438;1;1.0
w.201;m.390;1;1.0
w.201;m.386;1;1.0
w.201;m.392;1;1.0
w.202;m.1012;1;1.0
w.202;m.1033;1;1.0
w.202;m.1025;1;1.0
w.202;m.687;1;1.0
w.203;m.460;1;1.0
w.203;m.459;1;1.0
w.203;m.699;1;1.0
w.203;m.367;1;1.0
w.203;m.682;1;1.0
w.204;m.440;1;1.0
w.204;m.386;1;1.0
w.204;m.392;1;1.0
w.205;m.1036;1;1.0
w.205;m.1033;1;1.0
w.205;m.1025;1;1.0
w.205;m.687;1;1.0
w.206;m.700;1;1.0
w.206;m.461;1;1.0
w.206;m.368;1;1.0
w.206;m.682;1;1.0
w.207;m.438;1;1.0
w.207;m.687;1;1.0
w.208;m.390;1;1.0
w.208;m.656;1;1.0
w.208;m.686;1;1.0
w.208;m.385;1;1.0
w.208;m.832;1;1.0
w.208;m.380;1;1.0
w.209;m.756;1;1.0
w.209;m.656;1;1.0
w.209;m.686;1;1.0
w.209;m.386;1;1.0
w.209;m.832;1;1.0
w.209;m.382;1;1.0
w.210;m.438;1;1.0
w.210;m.386;1;1.0
w.210;m.392;1;1.0
w.210;m.1012;1;1.0
w.210;m.1033;1;1.0
w.210;m.1025;1;1.0
w.210;m.687;1;1.0
w.210;m.699;1;1.0
w.210;m.367;1;1.0
w.210;m.682;1;1.0
w.211;m.390;1;1.0
w.211;m.656;1;1.0
w.211;m.686;1;1.0
w.211;m.386;1;1.0
w.211;m.832;1;1.0
w.211;m.382;1;1.0
w.212;m.756;1;1.0
w.212;m.641;1;1.0
w.213;m.544;1;1.0
w.213;m.386;1;1.0
w.213;m.641;1;1.0
w.214;m.544;1;1.0
w.214;m.386;1;1.0
w.214;m.641;1;1.0
w.215;m.544;1;1.0
w.215;m.386;1;1.0
w.215;m.641;1;1.0
w.216;m.756;1;1.0
w.216;m.656;1;1.0
w.216;m.686;1;1.0
w.216;m.385;1;1.0
w.216;m.832;1;1.0
w.216;m.380;1;1.0
w.216;m.390;1;1.0
w.216;m.392;1;1.0
w.225;m.548;1;1.0
w.225;m.552;1;1.0
w.225;m.458;1;1.0
w.226;m.700;1;1.0
w.226;m.368;1;1.0
w.226;m.1025;1;1.0
w.226;m.440;1;1.0
w.226;m.756;1;1.0
w.226;m.656;1;1.0
w.226;m.392;1;1.0
w.226;m.1036;1;1.0
w.226;m.1011;1;1.0
w.227;m.538;1;1.0
w.227;m.630;1;1.0
w.227;m.875;1;1.0
w.227;m.876;1;1.0
w.227;m.1021;1;1.0
w.227;m.1025;1;1.0
w.228;m.538;1;1.0
w.228;m.630;1;1.0
w.228;m.875;1;1.0
w.228;m.876;1;1.0
w.228;m.1021;1;1.0
w.228;m.1025;1;1.0
w.229;m.538;1;1.0
w.229;m.630;1;1.0
w.229;m.875;1;1.0
w.229;m.876;1;1.0
w.229;m.1021;1;1.0
w.229;m.1025;1;1.0
w.230;m.538;1;1.0
w.230;m.630;1;1.0
w.230;m.875;1;1.0
