material_id;material_name;image_url;item_url;unit;unit_price;expenditure;weight
m.76;*14563391001(13660791001) REHAU RAUTITAN Переходник с накидной гайкой 25-G 3/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/b77/1000_750_1/RQLAGK0L3H3P5I.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12420;шт.;2 965,90;;
m.77;*14563401001(13660801001) REHAU RAUTITAN Переходник с накидной гайкой 25-G 1 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/0b7/1000_750_1/rg008n1k6tv8kk.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12286;шт.;3 180,60;;
m.78;*14563421001(13660821001) REHAU RAUTITAN Переходник с накидной гайкой 32-G 1 1/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/e01/1000_750_1/RG008N1JDTEQIT.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12283;шт.;4 858,30;;
m.79;*14563521001(13660931001) REHAU RAUTITAN Угольник-переходник с наружной резьбой 32-R 1 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/59b/1000_750_1/RQLAGK0L3H3P62.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12433;шт.;4 188,55;;
m.80;*14563571001(13660981001) REHAU RAUTITAN Угольник-переходник с внутренней резьбой 25-Rp 1 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/6d4/rg008q1vicl86o_0.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=58821;шт.;2 713,20;;
m.81;*14563611001(13661021008) REHAU RAUTITAN Угольник настенный с внутр. резьбой 25-Rp 3/4 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/c3b/RG008Q20Q83309.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=11323711;шт.;2 427,25;;
m.82;*14563721001(13661131001) REHAU RAUTITAN Угольник настенный с внутр. резьбой 20-Rp 1/2 длинный, 59 мм RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/iblock/a06/RG008N1JDCF0HU.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12273;шт.;3 762,95;;
m.83;*14563881001(13661401001)(11374361001) REHAU RAUTITAN Заглушка для полимерн. трубы 20 RX+ для труб из сшитого полиэтилена аксиальный;https://lk.teremopt.ru/upload/resize_cache/iblock/172/1000_750_1/RQLAGL09VCUQA6.JPG;https://lk.teremopt.ru/catalogue/detail.php?ID=12534;шт.;884,45;;
m.84;11055293008 РЕХАУ Кронштейн тип O 75 / 150;https://lk.teremopt.ru/upload/resize_cache/iblock/a13/kyhhyiydlq8k7z8eryq2yw2sto01m89d/1000_750_1/RG0093B383RJHT.jpeg;https://lk.teremopt.ru/catalogue/detail.php?ID=14101408;шт.;820,80;;
m.85;11055323008 Кронштейн РЕХАУ, тип Z 30;https://lk.teremopt.ru/;https://lk.teremopt.ru/catalogue/detail.php?ID=14468360;шт.;412,30;;
m.86;11055351008(11370951001) REHAU RAUTITAN Кронштейн, тип Е;https://lk.teremopt.ru/upload/iblock/148/RQLAGK0O5VC4Q8.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=12493;шт.;387,60;;
m.87;11056233008 Монтажная шина РЕХАУ, 2 м;https://lk.teremopt.ru/;https://lk.teremopt.ru/catalogue/detail.php?ID=14468361;шт.;2 629,60;;
m.88;11077551001 РЕХАУ Заглушка для коллектора с наружной резьбой 3/4 MX хром.;https://lk.teremopt.ru/upload/resize_cache/iblock/208/bw6i2736toy9py8bx47ril8kheqalvui/1000_750_1/RG00939O4FFLEL.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=14255586;шт.;469,30;;
m.89;11077561001 РЕХАУ Заглушка для коллектора с внутренней резьбой 3/4 MX хром.;https://lk.teremopt.ru/upload/iblock/1c9/3j5uqw2wtll7na5n3rum4dmpvei0p7ly/RG00939O4FFSMN.jpg;https://lk.teremopt.ru/catalogue/detail.php?ID=14255587;шт.;469,30;;
m.90;11080011001 РЕХАУ Монтажная гильза РЕХАУ 16 LX для труб из сшитого полиэтилена аксиальная;https://lk.teremopt.ru/upload/resize_cache/iblock/04a/1tyrgxehyn7gb3j7gv5uvkazcavfgjvp/1000_750_1/RG00938TPBTIR7_1.webp;https://lk.teremopt.ru/catalogue/detail.php?ID=13888323;шт.;134,90;;
